puerto,latitud,longitud,desembarques
Almanza,-54.869566,-67.561918,
Bahía Blanca,-38.789246,-62.272499,1323.665
Caleta Cordova,-45.748762,-67.377537,
Caleta Olivia / Paula,-46.436049,-67.514904,
Camarones,-44.798941,-65.709705,5840.974
Comodoro Rivadavia,-45.862528,-67.46664,16616.688
General Lavalle,-36.398453,-56.946467,8897.209
Mar del Plata,-38.04915,-57.536848,381331.055
Necochea / Quequén,-38.576184,-58.701949,1542.776
Puerto Deseado,-47.753106,-65.911745,61608.607
Puerto Madryn,-42.723398,-65.03362,124205.893
Punta Colorada,-41.697354,-65.027413,
Punta Quilla,-50.116093,-68.413519,
Rawson,-43.336741,-65.061964,94060.596
Rosales,-38.89977,-62.079012,291.099
Río Salado,-35.745949,-57.380561,435.289
San Antonio Este,-40.79875,-64.883536,3013.277
San Antonio Oeste,-40.725698,-64.934194,3724.774
San Clemente del Tuyú,-36.342328,-56.746143,1275.621
San Julián,-49.300594,-67.721019,160.641
Ushuaia,-54.808106,-68.304301,28738.406