,A̱o,Total
0,1989.0,503310.52
1,1990.0,583291.8459999997
2,1991.0,704380.4630000003
3,1992.0,731212.3640000001
4,1993.0,970627.1739999999
5,1994.0,984313.6549999998
6,1995.0,1148679.4829999998
7,1996.0,1249544.8880000003
8,1997.0,1343219.457
9,1998.0,1120151.903999998
10,1999.0,1019736.6579999998
11,2000.0,857368.9199999999
12,2001.0,890767.9470000002
13,2002.0,889664.6269999989
14,2003.0,842722.4989999998
15,2004.0,877390.6429999989
16,2005.0,868368.8659999991
17,2006.0,1073754.7269999997
18,2007.0,919159.3749999998
19,2008.0,933348.6100000001
20,2009.0,772480.2749999999
21,2010.0,764656.9579999999
22,2011.0,733866.6480000003
23,2012.0,692262.572
24,2013.0,824145.1100000001
25,2014.0,791139.7770000001
26,2015.0,767708.4170000001
27,2016.0,705724.9310000001
28,2017.0,778960.767
29,2018.0,791655.8740000002
30,2019.0,781330.7830000002
31,2020.0,789745.5109999999
32,2021.0,796813.088
33,2022.0,793512.96
